algo,transform,metric,weighted,auc,eer
pdq,Border,Hamming,False,0.9999180265679999,0.001185999999999981
pdq,Border,Cosine,False,0.999914689856,0.001185999999999981
pdq,Border,Jaccard,False,0.9999146888319999,0.001185999999999981
pdq,Crop,Hamming,False,0.9942710242480001,0.024191999999999998
pdq,Crop,Cosine,False,0.9942710242480001,0.024191999999999998
pdq,Crop,Jaccard,False,0.9942710242480001,0.024191999999999998
pdq,Flip,Hamming,False,0.5159157901280002,0.518678
pdq,Flip,Cosine,False,0.5159157901280002,0.518678
pdq,Flip,Jaccard,False,0.5159157901280002,0.518678
pdq,Rescale,Hamming,False,0.9999553514,0.000226000000000001
pdq,Rescale,Cosine,False,0.9999553514,0.000226000000000001
pdq,Rescale,Jaccard,False,0.9999553514,0.000226000000000001
pdq,Rotate,Hamming,False,0.9960103638080001,0.021120000000000024
pdq,Rotate,Cosine,False,0.9960103638080001,0.021120000000000024
pdq,Rotate,Jaccard,False,0.9960103638080001,0.021120000000000024
pdq,Watermark,Hamming,False,0.9999712503599999,0.00032399999999997795
pdq,Watermark,Cosine,False,0.9999712503599999,0.00032399999999997795
pdq,Watermark,Jaccard,False,0.9999712503599999,0.00032399999999997795
pdq,Border,Hamming,True,0.9999042002240001,0.0014239999999999904
pdq,Border,Cosine,True,0.9998359521919999,0.0020500000000000266
pdq,Border,Jaccard,True,0.9998836514639999,0.001517999999999983
pdq,Crop,Hamming,True,0.995458657952,0.022212000000000003
pdq,Crop,Cosine,True,0.9957742378000001,0.021794000000000015
pdq,Crop,Jaccard,True,0.995409173304,0.02245600000000001
pdq,Flip,Hamming,True,0.962859966408,0.09109000000000003
pdq,Flip,Cosine,True,0.9988874310879999,0.011772000000000001
pdq,Flip,Jaccard,True,0.9619168971599998,0.092256
pdq,Rescale,Hamming,True,0.9999589558399999,0.00021399999999999498
pdq,Rescale,Cosine,True,0.999954194056,0.000211999999999995
pdq,Rescale,Jaccard,True,0.999956694552,0.00020599999999999297
pdq,Rotate,Hamming,True,0.996887869944,0.018570000000000017
pdq,Rotate,Cosine,True,0.996569730184,0.019676000000000013
pdq,Rotate,Jaccard,True,0.9965976634639999,0.019483999999999974
pdq,Watermark,Hamming,True,0.999971688672,0.00039399999999997597
pdq,Watermark,Cosine,True,0.9999657406399999,0.00042999999999999397
pdq,Watermark,Jaccard,True,0.9999699723840001,0.00040799999999997793
phash,Border,Hamming,False,0.9926480796559999,0.03737599999999998
phash,Border,Cosine,False,0.992645929192,0.03737599999999998
phash,Border,Jaccard,False,0.992645929192,0.03737599999999998
phash,Crop,Hamming,False,0.999397997808,0.007247999999999986
phash,Crop,Cosine,False,0.999397997808,0.007247999999999986
phash,Crop,Jaccard,False,0.999397997808,0.007247999999999986
phash,Flip,Hamming,False,0.49773533960799987,0.537828
phash,Flip,Cosine,False,0.49773533960799987,0.537828
phash,Flip,Jaccard,False,0.49773533960799987,0.537828
phash,Rescale,Hamming,False,0.999991272032,0.0002240000000000205
phash,Rescale,Cosine,False,0.999991272032,0.0002240000000000205
phash,Rescale,Jaccard,False,0.999991272032,0.0002240000000000205
phash,Rotate,Hamming,False,0.9987676438079999,0.014948000000000017
phash,Rotate,Cosine,False,0.9987676438079999,0.014948000000000017
phash,Rotate,Jaccard,False,0.9987676438079999,0.014948000000000017
phash,Watermark,Hamming,False,0.99979874792,0.0024160000000000227
phash,Watermark,Cosine,False,0.99979874792,0.0024160000000000227
phash,Watermark,Jaccard,False,0.99979874792,0.0024160000000000227
phash,Border,Hamming,True,0.9916842230080001,0.04415999999999999
phash,Border,Cosine,True,0.990110724184,0.046416000000000006
phash,Border,Jaccard,True,0.991759808784,0.04345200000000002
phash,Crop,Hamming,True,0.99948187856,0.007246000000000016
phash,Crop,Cosine,True,0.999478546704,0.007472000000000012
phash,Crop,Jaccard,True,0.9994747302159999,0.007319999999999997
phash,Flip,Hamming,True,0.689667890992,0.334238
phash,Flip,Cosine,True,0.8148646164640001,0.23608799999999996
phash,Flip,Jaccard,True,0.685320514336,0.340568
phash,Rescale,Hamming,True,0.9999930115040001,0.0001620000000000265
phash,Rescale,Cosine,True,0.999993919584,0.00016400000000002648
phash,Rescale,Jaccard,True,0.999993231856,0.0001620000000000265
phash,Rotate,Hamming,True,0.9990009191999999,0.01227799999999998
phash,Rotate,Cosine,True,0.998835983488,0.013519999999999989
phash,Rotate,Jaccard,True,0.9988769614079999,0.01345000000000001
phash,Watermark,Hamming,True,0.999806457992,0.0028860000000000005
phash,Watermark,Cosine,True,0.99979765288,0.0029619999999999794
phash,Watermark,Jaccard,True,0.9998066372319999,0.0028699999999999906
wave,Border,Hamming,False,0.653262117928,0.389096
wave,Border,Cosine,False,0.653191885512,0.38915
wave,Border,Jaccard,False,0.6531838011919999,0.389158
wave,Crop,Hamming,False,0.9942703221200001,0.029524000000000016
wave,Crop,Cosine,False,0.9942480435759999,0.02952800000000002
wave,Crop,Jaccard,False,0.994237262792,0.029534000000000026
wave,Flip,Hamming,False,0.7466454002320001,0.326972
wave,Flip,Cosine,False,0.7466148855999999,0.326966
wave,Flip,Jaccard,False,0.7466325756000001,0.32695799999999997
wave,Rescale,Hamming,False,0.999970993208,0.0005840000000000035
wave,Rescale,Cosine,False,0.9999605503519999,0.0005880000000000075
wave,Rescale,Jaccard,False,0.9999543589119999,0.0005900000000000095
wave,Rotate,Hamming,False,0.995860545872,0.026695999999999977
wave,Rotate,Cosine,False,0.9958378334639999,0.02669799999999998
wave,Rotate,Jaccard,False,0.995838002792,0.026697999999999982
wave,Watermark,Hamming,False,0.9998421646879999,0.004226000000000001
wave,Watermark,Cosine,False,0.9998216929759998,0.004242000000000006
wave,Watermark,Jaccard,False,0.9998295441599998,0.004234000000000009
wave,Border,Hamming,True,0.6682413277279999,0.383994
wave,Border,Cosine,True,0.638206266696,0.402744
wave,Border,Jaccard,True,0.6452423124159999,0.393958
wave,Crop,Hamming,True,0.994945147408,0.027126000000000018
wave,Crop,Cosine,True,0.994515891616,0.028935999999999983
wave,Crop,Jaccard,True,0.9945337565680001,0.028815999999999977
wave,Flip,Hamming,True,0.7495728573600001,0.317194
wave,Flip,Cosine,True,0.747884417624,0.31294
wave,Flip,Jaccard,True,0.7478303537200001,0.317828
wave,Rescale,Hamming,True,0.9999726180159999,0.0005820000000000145
wave,Rescale,Cosine,True,0.9999563091360001,0.0006199999999999769
wave,Rescale,Jaccard,True,0.999954767328,0.0006239999999999809
wave,Rotate,Hamming,True,0.996791964832,0.02316599999999998
wave,Rotate,Cosine,True,0.996904638368,0.02202000000000002
wave,Rotate,Jaccard,True,0.9966321870720001,0.02392999999999998
wave,Watermark,Hamming,True,0.9998879682799999,0.002894000000000005
wave,Watermark,Cosine,True,0.9998699631360001,0.003250000000000014
wave,Watermark,Jaccard,True,0.999869277552,0.003215999999999994
